"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"3",2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"4",2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3
"5",2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3
"6",2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,3,3,3,3,1
"7",2,1,1,1,1,3,3,0,0,0,0,0,0,0,3,3,3,3,1,1
"8",2,1,1,1,1,3,3,0,0,0,0,0,0,3,3,3,3,1,1,1
"9",2,1,1,1,1,3,3,3,0,0,0,0,3,3,3,3,3,1,1,1
"10",2,1,1,1,1,1,3,3,0,0,0,3,3,3,3,3,1,1,1,1
"11",2,1,1,1,1,1,3,3,0,0,3,3,3,3,3,3,1,1,1,1
"12",2,1,1,1,1,1,3,3,0,0,0,3,3,3,3,3,1,1,1,1
"13",2,1,1,1,1,3,3,0,0,0,0,0,3,3,3,3,3,1,1,1
"14",2,1,1,1,1,3,0,0,0,0,0,0,0,0,3,3,3,3,3,1
"15",2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
"16",2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
