"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"4",4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"5",4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"6",4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"7",4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"8",4,4,4,4,4,1,1,1,1,1,1,1,1,4,0,0,0,0,0,0
"9",4,4,4,4,4,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0
"10",4,4,4,4,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"11",4,4,4,4,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"12",4,4,4,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"13",4,4,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"14",4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
