"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2",4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3",4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,4,1,1
"4",4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,4,1,1,1
"5",4,4,4,4,4,1,1,4,0,0,0,0,0,0,0,4,1,1,1,1
"6",4,4,4,4,4,1,1,1,0,0,0,0,0,0,4,1,1,1,1,1
"7",4,4,4,4,4,1,1,1,4,0,0,0,0,4,1,1,1,1,1,1
"8",4,4,4,4,4,1,1,1,1,0,0,0,4,1,1,1,1,1,1,1
"9",4,4,4,4,4,1,1,1,1,4,0,4,4,1,1,1,1,1,1,1
"10",4,4,4,4,4,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1
"11",4,4,4,4,4,1,1,1,1,4,0,0,4,1,1,1,1,1,1,1
"12",4,4,4,4,4,1,1,1,4,0,0,0,0,0,1,1,1,1,1,1
"13",4,4,4,4,4,1,1,4,0,0,0,0,0,0,0,4,1,1,1,1
"14",4,4,4,4,4,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1
"15",4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"16",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"17",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"18",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"19",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"20",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
