"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"3",NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,NA,1,NA
"4",NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,NA,1,1,NA
"5",NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,0,NA,1,1,1,NA
"6",NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,0,NA,1,1,1,1,NA
"7",NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,NA,1,1,1,1,1,NA
"8",NA,NA,NA,NA,1,1,1,1,1,0,0,0,NA,1,1,1,1,1,1,NA
"9",NA,NA,NA,NA,1,1,1,1,1,NA,0,NA,NA,1,1,1,1,1,1,NA
"10",NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,NA
"11",NA,NA,NA,NA,NA,1,1,1,1,NA,0,0,NA,1,1,1,1,1,1,NA
"12",NA,NA,NA,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,1,1,NA
"13",NA,NA,NA,NA,1,1,1,NA,0,0,0,0,0,0,0,NA,1,1,1,NA
"14",NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,1,NA
"15",NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"16",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"17",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"18",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"19",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"20",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
